属性,原始均值,原始标准差,趋势标准差,噪声标准差,ACF_lag1,ACF_lag16,LSTM_MAE,TimesFM_MAE,LSTM_相对误差%,TimesFM_相对误差%
Magnitude,0.862,0.158,0.132,0.083,0.999,0.81,0.0325,0.0182,3.77,2.11
aRMSX,0.516,0.097,0.082,0.049,0.999,0.813,0.0208,0.0111,4.04,2.15
vRMSM,3.632,0.684,0.585,0.343,0.999,0.82,0.1516,0.0766,4.17,2.11
ShockZ,-226.282,59.494,14.878,57.596,0.988,0.559,6.2492,5.3776,2.76,2.38
