属性,原始均值,趋势标准差,噪声标准差,信噪比_SNR,ACF_lag1,ACF_lag16,LSTM_MAE,TimesFM_MAE,NRMSE_LSTM,NRMSE_TimesFM,LSTM_相对误差%,TimesFM_相对误差%,TFM相对LSTM提升%,可用性
Magnitude,0.862,0.132,0.083,1.59,0.999,0.81,0.0325,0.0182,0.246,0.138,3.77,2.11,44.0,A 可直接上线
aRMSX,0.516,0.082,0.049,1.673,0.999,0.813,0.0208,0.0111,0.254,0.135,4.04,2.15,46.6,A 可直接上线
vRMSM,3.632,0.585,0.343,1.706,0.999,0.82,0.1516,0.0766,0.259,0.131,4.17,2.11,49.5,A 可直接上线
ShockZ,-226.282,14.878,57.596,0.258,0.988,0.559,6.2492,5.3776,0.42,0.361,2.76,2.38,13.9,C 不建议直接用
